,이비카드정류장ID,정류장이름,위도,경도,횟수
460,4170943.0,상록.경남아파트.이주택지,37.2068333,127.1105667,415.0
1256,4108034.0,반월리큰고개,37.233,127.0648,763.0
1465,4170841.0,향남홈플러스,37.1313667,126.92235,209.0
1790,4116691.0,안녕농협삼거리,37.2052167,127.0147,325.0
2220,4116690.0,남수원현대아파트,37.2071,127.0106,267.0
2958,4117227.0,수원대학교,37.21375,126.98015,569.0
4234,4108036.0,신영통현대타운.두산위브,37.2354667,127.06246670000002,1276.0
4492,4108017.0,주공10.11단지,37.2158833,127.0452667,258.0
5162,4119331.0,롯데시네마,37.2144833,127.04245,337.0
5960,4170918.0,와우농협앞,37.218,126.9746333,223.0
6275,4197592.0,IT단지(중),37.2247167,127.0741833,315.0
6547,4108028.0,성지산업,37.2212667,127.0596833,272.0
6763,4120436.0,롯데케슬정문,37.2092667,127.07491670000002,216.0
7670,4170973.0,메타폴리스(중),37.2037,127.0675,795.0
8537,4170243.0,동탄1동행정복지센터,37.20665,127.0725667,772.0
9148,4197591.0,롯데캐슬.복합문화센터,37.2012333,127.0707667,611.0
9570,4199455.0,한림대병원(중),37.2166333,127.0781167,422.0
10066,4170255.0,반송고등학교,37.1932167,127.07738329999998,242.0
10977,4102921.0,주공5단지,37.2148333,126.96345,234.0
11392,4170481.0,한빛마을.석우중학교(중),37.20831670000001,127.06925,415.0
11822,9130064.0,우남퍼스트빌,37.2033167,127.0990167,242.0
12031,4108012.0,주공4단지,37.2081667,127.0445,209.0
12460,4199072.0,동화휴먼시아2단지,37.2175833,126.9600833,227.0
13109,4116674.0,와우2리,37.2159833,126.9763167,612.0
13558,4151651.0,병점역사거리,37.2069167,127.0356333,214.0
13797,4116696.0,한일타운아파트,37.20025,127.03755,239.0
14038,4198442.0,KEB하나은행발안지점,37.1333667,126.9107833,241.0
14292,4120453.0,레이크빌.하우스디더레이크,37.1760167,127.1051833,211.0
15341,4195716.0,다은마을(중),37.2004167,127.0673,623.0
15671,4116677.0,평생플러스빌,37.2224833,126.97365,330.0
16057,4116681.0,신일우남아파트,37.2266,126.9716167,386.0
16912,4130128.0,진안동,37.2133667,127.04065,452.0
17625,4199835.0,능동마을입구,37.21685,127.05815,671.0
17989,4197552.0,예당마을.롯데캐슬(중),37.2107833,127.07191670000002,226.0
18640,4100049.0,홈플러스.벌말초교,37.2033,127.03813329999998,472.0
18986,4197465.0,동탄2동행정복지센터,37.19715,127.0726,346.0
19367,4170963.0,반월1통.빅마켓앞,37.2291833,127.06506670000002,251.0
20168,4100048.0,신창미션힐.송화초교,37.2033,127.03855,495.0
21275,4116676.0,동일하이빌.화성고용센터,37.2163833,126.9583,256.0
21869,4121775.0,한미약품.푸르지오,37.2095333,127.0918333,210.0
22586,4197607.0,서동탄역신일해피트리(중),37.1995,127.0524833,275.0
22993,9130117.0,대우푸르지오.호반베르디움2차,37.1981333,127.11685,242.0
23720,4170942.0,반도.모아아파트,37.2019167,127.11415,404.0
25251,4199605.0,동양파라곤,37.18615,127.0776,325.0
26687,4116692.0,송산동입구,37.2055667,127.0172,303.0
27063,4199631.0,수영초등학교,37.2364,126.9544333,376.0
27767,4116178.0,아이파크정문,37.21385,126.9706,227.0
29044,4170271.0,병점사거리,37.2083833,127.0344333,423.0
29754,4117233.0,삼성전자,37.2237333,127.0625833,379.0
32326,4100051.0,동부출장소.병점초등학교,37.2088,127.0344333,233.0
